MMSI,BaseDateTime,LAT,LON,SOG,COG,delta_sog,delta_cog,prev_lon,prev_lat,Distance_Traveled,anomaly
338123456,2023-01-01 00:00:00+00:00,18.80987,72.88862,9.8,121.3,9.700000000000001,-83.60000000000001,72.89536,18.80707,774.7470924958802,-1
338123456,2023-01-01 00:05:00+00:00,18.86907,72.94988,9.9,338.5,2.1000000000000005,330.1,72.76408,18.91444,20187.627886793045,-1
338123456,2023-01-01 00:15:00+00:00,18.95755,72.84019,0.5,36.7,-7.699999999999999,-290.5,72.82783,18.9639,1479.2008248138086,-1
338123456,2023-01-01 00:15:00+00:00,18.87443,72.94096,9.7,31.5,3.799999999999999,-320.4,72.93525,18.87976,843.9107515590972,-1
338123456,2023-01-01 00:15:00+00:00,18.80459,72.85266,4.3,4.1,2.3,-309.9,72.94284,18.99331,23029.561365976053,-1
338123456,2023-01-01 00:20:00+00:00,18.84438,72.80069,9.6,9.0,8.9,-254.10000000000002,72.87361,18.96034,15003.490018565859,-1
338123456,2023-01-01 00:50:00+00:00,18.81353,72.94187,0.1,93.0,-9.1,-171.5,72.82608,18.96795,21053.00509113661,-1
338123456,2023-01-01 01:05:00+00:00,18.99488,72.94211,9.1,262.4,7.8999999999999995,191.7,72.93276,18.98616,1380.8041121935157,-1
338123456,2023-01-01 01:10:00+00:00,18.98928,72.80339,7.1,306.1,6.0,302.1,72.80022,18.9881,358.20288106376694,-1
338123456,2023-01-01 01:20:00+00:00,18.83224,72.86768,10.0,333.4,9.3,225.2,72.84678,18.8488,2868.5057603168752,-1
338123456,2023-01-01 01:20:00+00:00,18.94774,72.78119,0.3,338.8,-9.7,5.400000000000034,72.86768,18.83224,15739.755931459333,-1
338123456,2023-01-01 01:25:00+00:00,18.84098,72.94986,0.5,318.6,-0.19999999999999996,313.1,72.78301,18.97151,22775.749802203067,-1
338123456,2023-01-01 01:30:00+00:00,18.82119,72.85826,0.7,13.1,-7.3999999999999995,-312.29999999999995,72.78639,18.8338,7692.851066408768,-1
338123456,2023-01-01 01:35:00+00:00,18.96984,72.81287,0.2,12.2,-1.7,-346.7,72.81345,18.82346,16276.827730461886,-1
338123456,2023-01-01 01:40:00+00:00,18.9396,72.85048,9.8,38.9,9.3,30.5,72.83786,18.91549,2991.5343820382527,-1
338123456,2023-01-01 01:40:00+00:00,18.8001,72.81966,0.2,333.7,-9.4,127.29999999999998,72.86967,18.88543,10850.099043469447,-1
338123456,2023-01-01 01:55:00+00:00,18.80674,72.94323,0.1,157.3,-6.0,-163.0,72.79487,18.98214,24979.964441700475,-1
338123456,2023-01-01 02:00:00+00:00,18.87196,72.79966,1.0,350.4,0.6,323.09999999999997,72.81372,18.88977,2471.877696294838,-1
338123456,2023-01-01 02:00:00+00:00,18.90768,72.82112,9.9,354.1,6.300000000000001,336.6,72.8743,18.99969,11659.885928331927,-1
338123456,2023-01-01 02:10:00+00:00,18.97053,72.92807,9.9,330.0,6.2,317.1,72.83776,18.84142,17215.124259085544,-1
338123456,2023-01-01 02:20:00+00:00,18.93897,72.85808,9.2,295.6,6.699999999999999,265.20000000000005,72.86084,18.93128,903.0204133527103,-1
338123456,2023-01-01 02:25:00+00:00,18.90615,72.89281,0.2,357.4,-9.5,111.09999999999997,72.77344,18.93301,12906.56934039881,-1
338123456,2023-01-01 02:25:00+00:00,18.86491,72.94596,9.9,64.1,9.700000000000001,-293.29999999999995,72.89281,18.90615,7231.688507790767,-1
338123456,2023-01-01 02:25:00+00:00,18.97608,72.76553,1.4,359.2,-8.5,295.1,72.94596,18.86491,22649.630870463992,-1
338123456,2023-01-01 02:25:00+00:00,18.82365,72.93278,9.3,120.4,7.9,-238.79999999999998,72.76553,18.97608,24430.650201636516,-1
338123456,2023-01-01 02:25:00+00:00,18.91248,72.84868,1.4,18.2,-6.5,-325.1,72.86473,18.93247,2791.2193270858306,-1
338123456,2023-01-01 02:30:00+00:00,18.89782,72.89235,1.4,14.7,-7.699999999999999,-303.0,72.93294,18.92514,5240.176060572075,-1
338123456,2023-01-01 02:35:00+00:00,18.97141,72.90387,8.5,315.5,1.5999999999999996,307.1,72.8958,18.97992,1271.0272301445214,-1
338123456,2023-01-01 02:40:00+00:00,18.94932,72.82474,8.3,354.0,8.200000000000001,269.5,72.79821,18.98236,4613.098504781842,-1
338123456,2023-01-01 02:40:00+00:00,18.90024,72.90178,10.0,329.3,2.8,320.1,72.75888,18.82903,16993.70954949324,-1
338123456,2023-01-01 02:55:00+00:00,18.84603,72.83155,9.5,6.7,7.8,-332.40000000000003,72.80539,18.98215,15383.967063273605,-1
338123456,2023-01-01 03:05:00+00:00,18.96875,72.92607,0.2,349.2,-8.4,300.7,72.856,18.89513,11014.967812475528,-1
338123456,2023-01-01 03:05:00+00:00,18.87379,72.94387,0.2,28.2,-9.5,-129.3,72.81293,18.97742,17957.49158789039,-1
338123456,2023-01-01 03:05:00+00:00,18.96396,72.87425,0.6,55.9,-9.1,-247.20000000000002,72.84889,18.81856,16386.401579252506,-1
338123456,2023-01-01 03:15:00+00:00,18.87175,72.8113,9.7,100.2,9.2,74.9,72.79755,18.85651,2228.2189188557054,-1
338123456,2023-01-01 03:15:00+00:00,18.86688,72.85364,0.8,359.2,-8.899999999999999,259.0,72.8113,18.87175,4487.770659251092,-1
338123456,2023-01-01 03:15:00+00:00,18.86282,72.78659,0.7,23.6,-8.600000000000001,-264.9,72.80129,18.811,5966.180663732553,-1
338123456,2023-01-01 03:30:00+00:00,18.85236,72.75261,0.2,202.4,-9.3,-42.400000000000006,72.9381,18.99638,25241.31725254444,-1
338123456,2023-01-01 03:30:00+00:00,18.93002,72.93307,0.2,267.1,-7.8,234.3,72.93041,18.90192,3137.0806500758385,-1
338123456,2023-01-01 03:35:00+00:00,18.83826,72.77135,0.1,102.9,-9.8,80.30000000000001,72.76702,18.88514,5232.691703151225,-1
338123456,2023-01-01 03:40:00+00:00,18.9974,72.91949,0.1,177.4,-1.7,173.6,72.78952,18.80968,24952.78787929045,-1
338123456,2023-01-01 03:45:00+00:00,18.85498,72.93631,10.0,95.0,8.7,84.9,72.75476,18.99861,24894.3104076043,-1
338123456,2023-01-01 03:45:00+00:00,18.81187,72.77322,7.5,9.4,6.9,-184.7,72.91209,18.99643,25190.737810576054,-1
338123456,2023-01-01 03:50:00+00:00,18.97852,72.76484,0.3,354.5,-7.7,64.0,72.80454,18.9167,8042.730935082888,-1
338123456,2023-01-01 03:55:00+00:00,18.81796,72.75125,0.1,68.2,-9.1,-204.3,72.90368,18.94017,21020.6983891478,-1
338123456,2023-01-01 03:55:00+00:00,18.98179,72.8515,9.3,344.1,6.4,342.6,72.85138,18.95556,2916.670223246243,-1
338123456,2023-01-01 03:55:00+00:00,18.91779,72.91723,9.8,3.4,8.9,-131.2,72.77738,18.80886,19059.261160782986,-1
338123456,2023-01-01 04:10:00+00:00,18.82153,72.92874,0.1,60.1,-6.7,-189.8,72.81356,18.99702,22969.19442926768,-1
338123456,2023-01-01 04:10:00+00:00,18.81269,72.7952,9.3,332.2,8.700000000000001,316.7,72.87676,18.91268,14045.260309867232,-1
338123456,2023-01-01 04:15:00+00:00,18.83298,72.86156,0.2,348.1,-7.3999999999999995,345.5,72.79287,18.95805,15672.564001001007,-1
338123456,2023-01-01 04:15:00+00:00,18.97441,72.78092,10.0,50.0,8.9,-253.7,72.92561,18.88311,18294.137866236633,-1
338123456,2023-01-01 04:20:00+00:00,18.88736,72.89348,0.7,284.0,-8.600000000000001,265.6,72.8729,18.87271,2709.6239634355993,-1
338123456,2023-01-01 04:25:00+00:00,18.97217,72.94234,0.3,72.8,-9.299999999999999,-214.8,72.75382,18.92207,20594.470638593804,-1
338123456,2023-01-01 04:25:00+00:00,18.86803,72.76777,0.2,341.6,-9.200000000000001,216.50000000000003,72.75554,18.91175,5028.831466489635,-1
338123456,2023-01-01 04:40:00+00:00,18.80081,72.89453,9.9,54.4,7.7,-246.70000000000002,72.8919,18.81057,1120.013485591998,-1
338123456,2023-01-01 04:40:00+00:00,18.98537,72.84871,0.9,19.0,-8.4,-306.5,72.76569,18.80287,22092.794231817843,-1
338123456,2023-01-01 04:45:00+00:00,18.82499,72.79365,0.3,19.9,-9.2,-203.5,72.76962,18.94523,13607.008020465893,-1
338123456,2023-01-01 04:45:00+00:00,18.98092,72.89084,2.4,32.9,-7.6,-321.0,72.91101,18.99091,2394.0990118930968,-1
338123456,2023-01-01 04:50:00+00:00,18.88643,72.93824,9.3,327.3,8.8,273.40000000000003,72.76472,18.82596,19457.76807633346,-1
338123456,2023-01-01 04:55:00+00:00,18.90731,72.84874,1.0,7.0,-7.9,-307.6,72.88929,18.85165,7517.117846165424,-1
338123456,2023-01-01 05:00:00+00:00,18.97502,72.81421,0.2,219.4,-7.7,96.0,72.79525,18.96271,2418.4187549878066,-1
338123456,2023-01-01 05:20:00+00:00,18.90154,72.78319,0.4,314.7,-9.0,205.2,72.75902,18.91044,2728.395658334409,-1
338123456,2023-01-01 05:25:00+00:00,18.89928,72.93379,0.3,4.3,-7.6000000000000005,-339.0,72.80037,18.84869,15123.114550653314,-1
338123456,2023-01-01 05:30:00+00:00,18.98137,72.92448,0.9,42.0,-8.6,-203.4,72.9443,18.9616,3029.2556559704435,-1
338123456,2023-01-01 05:30:00+00:00,18.92041,72.75679,9.7,354.2,7.8999999999999995,343.4,72.84875,18.89573,10055.441247452753,-1
338123456,2023-01-01 05:35:00+00:00,18.91453,72.80636,2.0,4.7,-7.800000000000001,-275.7,72.9299,18.91505,12995.37399502125,-1
338123456,2023-01-01 05:40:00+00:00,18.86196,72.88104,10.0,4.1,9.0,-284.79999999999995,72.8062,18.95496,12996.89545068461,-1
338123456,2023-01-01 05:45:00+00:00,18.8743,72.8058,0.1,285.2,-8.0,39.099999999999994,72.81388,18.83697,4237.090286142603,-1
338123456,2023-01-01 05:45:00+00:00,18.99875,72.75012,9.9,34.4,2.4000000000000004,-307.3,72.85204,18.83481,21148.162458983556,-1
338123456,2023-01-01 05:45:00+00:00,18.82916,72.76069,0.2,36.3,-7.7,-283.2,72.90995,18.84658,15826.936006133163,-1
338123456,2023-01-01 05:45:00+00:00,18.99245,72.92048,9.6,345.9,9.4,322.5,72.76416,18.90031,19371.45130092581,-1
338123456,2023-01-01 05:50:00+00:00,18.81664,72.91037,8.9,342.3,6.1000000000000005,273.3,72.75222,18.96824,23685.230619260496,-1
338123456,2023-01-01 05:50:00+00:00,18.90318,72.82645,0.1,234.9,-6.5,201.3,72.83306,18.89046,1576.098173051449,-1
338123456,2023-01-01 05:55:00+00:00,18.88672,72.81535,10.0,60.3,8.9,-289.3,72.90502,18.86914,9634.904824731882,-1
338123456,2023-01-01 05:55:00+00:00,18.80075,72.80265,8.3,298.6,6.800000000000001,209.90000000000003,72.88716,18.99702,23565.607580992924,-1
338123456,2023-01-01 06:00:00+00:00,18.91127,72.78278,1.2,357.6,-5.8,330.5,72.79337,18.88037,3612.03202962447,-1
338123456,2023-01-01 06:05:00+00:00,18.9396,72.85416,1.1,338.6,-3.4999999999999996,322.3,72.83927,18.92985,1904.7453706318834,-1
338123456,2023-01-01 06:05:00+00:00,18.99751,72.76488,9.4,173.7,9.1,-158.5,72.85214,18.80112,23688.558119936784,-1
338123456,2023-01-01 06:05:00+00:00,18.93104,72.89952,9.8,352.0,8.5,327.0,72.75906,18.92987,14774.258072863682,-1
338123456,2023-01-01 06:05:00+00:00,18.8913,72.83447,0.1,354.5,-1.0,329.3,72.93185,18.99462,15390.982857853625,-1
338123456,2023-01-01 06:10:00+00:00,18.88345,72.91069,9.9,153.5,8.5,-186.3,72.88928,18.86899,2767.6169667094578,-1
338123456,2023-01-01 06:15:00+00:00,18.96616,72.87307,1.4,3.0,-8.299999999999999,-148.6,72.86694,18.96199,794.0699373176061,-1
338123456,2023-01-01 06:15:00+00:00,18.87554,72.75353,0.1,84.6,-9.3,-80.9,72.94816,18.90925,20816.25026218274,-1
338123456,2023-01-01 06:15:00+00:00,18.90596,72.8925,0.1,333.3,-4.9,298.90000000000003,72.88289,18.93781,3682.992098151725,-1
338123456,2023-01-01 06:15:00+00:00,18.87821,72.80092,9.9,21.8,9.8,-311.5,72.8925,18.90596,10116.718548053685,-1
338123456,2023-01-01 06:15:00+00:00,18.81337,72.76012,8.9,339.7,0.40000000000000036,317.4,72.87265,18.9933,23247.109128389387,-1
338123456,2023-01-01 06:20:00+00:00,18.93701,72.92368,9.8,325.8,8.100000000000001,289.1,72.79366,18.8202,18863.81871205313,-1
338123456,2023-01-01 06:25:00+00:00,18.96402,72.77009,0.5,349.6,-9.0,345.0,72.93459,18.86464,20531.42766205641,-1
338123456,2023-01-01 06:25:00+00:00,18.98794,72.91563,0.5,336.6,-8.4,273.5,72.87868,18.82062,19006.84329157575,-1
338123456,2023-01-01 06:30:00+00:00,18.8447,72.91625,2.2,340.0,-7.7,325.0,72.94639,18.86087,3645.825723182124,-1
338123456,2023-01-01 06:30:00+00:00,18.84461,72.75955,0.3,97.4,-8.1,-74.5,72.93239,18.98886,24245.0682354428,-1
338123456,2023-01-01 06:35:00+00:00,18.82042,72.77878,0.7,12.7,-6.7,-343.0,72.90825,18.9652,21087.860763156295,-1
338123456,2023-01-01 06:40:00+00:00,18.86365,72.82717,9.5,201.0,9.4,185.2,72.84665,18.86136,2065.50852288729,-1
338123456,2023-01-01 06:55:00+00:00,18.9676,72.81207,1.8,352.7,-8.0,326.4,72.78444,18.94597,3771.96704321783,-1
338123456,2023-01-01 07:00:00+00:00,18.95322,72.76046,1.1,15.2,-8.8,-319.5,72.92242,18.90535,17847.435538751262,-1
338123456,2023-01-01 07:05:00+00:00,18.97439,72.8429,9.8,141.8,9.3,130.3,72.83097,18.96601,1562.710764154692,-1
338123456,2023-01-01 07:05:00+00:00,18.83892,72.87483,9.9,184.2,8.700000000000001,156.1,72.87413,18.85508,1798.419269722293,-1
338123456,2023-01-01 07:10:00+00:00,18.80177,72.87351,1.5,6.3,-8.2,-319.59999999999997,72.81635,18.80821,6059.096219945525,-1
338123456,2023-01-01 07:10:00+00:00,18.80986,72.83171,8.0,344.4,5.5,305.59999999999997,72.83003,18.80104,996.5541894313875,-1
338123456,2023-01-01 07:10:00+00:00,18.99761,72.75735,8.4,49.2,5.7,-270.40000000000003,72.91748,18.82782,25301.761293064807,-1
338123456,2023-01-01 07:30:00+00:00,18.97184,72.92823,0.6,2.6,-8.6,-176.9,72.8866,18.80783,18755.616928405496,-1
338123456,2023-01-01 07:35:00+00:00,18.82456,72.77207,0.9,2.0,-6.5,-230.6,72.76702,18.82234,586.029560119787,-1
338123456,2023-01-01 07:40:00+00:00,18.9477,72.75939,9.4,338.9,5.7,312.9,72.77529,18.96941,2936.5779680149394,-1
338123456,2023-01-01 07:40:00+00:00,18.88673,72.93725,8.7,3.5,5.6,-336.6,72.76161,18.83455,19371.017169208288,-1
338123456,2023-01-01 07:55:00+00:00,18.87773,72.94319,9.5,355.8,8.8,319.2,72.88735,18.97783,12585.196837023084,-1
338123456,2023-01-01 07:55:00+00:00,18.91132,72.7503,9.7,1.9,8.899999999999999,-270.8,72.94372,18.81363,23069.754944142376,-1
338123456,2023-01-01 07:55:00+00:00,18.80559,72.86807,0.7,341.7,-9.0,339.8,72.7503,18.91132,17081.910563351365,-1
338123456,2023-01-01 08:00:00+00:00,18.85967,72.76443,6.4,354.8,4.300000000000001,282.9,72.75519,18.86388,1079.0982125052208,-1
338123456,2023-01-01 08:00:00+00:00,18.83741,72.81621,9.4,346.0,0.0,314.7,72.80524,18.83956,1178.9599722740243,-1
338123456,2023-01-01 08:00:00+00:00,18.98175,72.94741,0.9,60.1,-8.5,-285.9,72.81621,18.83741,21167.852699003073,-1
338123456,2023-01-01 08:00:00+00:00,18.80614,72.75166,0.2,252.7,-7.0,-44.5,72.93989,18.93319,24327.621462474322,-1
338123456,2023-01-01 08:00:00+00:00,18.84462,72.87331,0.1,152.0,-8.6,75.1,72.85756,18.82397,2831.9401869126564,-1
338123456,2023-01-01 08:05:00+00:00,18.90219,72.84163,0.1,354.4,-9.200000000000001,137.39999999999998,72.93455,18.80581,14507.234498182777,-1
338123456,2023-01-01 08:15:00+00:00,18.85826,72.89618,1.0,8.6,-8.2,-266.4,72.78158,18.86247,12067.843069092876,-1
338123456,2023-01-01 08:20:00+00:00,18.84001,72.76702,8.7,12.7,6.799999999999999,-307.8,72.93161,18.99022,24056.72711713702,-1
338123456,2023-01-01 08:20:00+00:00,18.84769,72.76278,0.7,359.6,-1.4000000000000001,354.3,72.92435,18.98294,22694.1586680626,-1
338123456,2023-01-01 08:20:00+00:00,18.90291,72.80039,0.5,13.7,-8.4,-340.6,72.88104,18.93123,9049.105868623912,-1
338123456,2023-01-01 08:35:00+00:00,18.97704,72.94335,0.2,139.1,-7.8999999999999995,103.69999999999999,72.765,18.94015,19199.14163381953,-1
338123456,2023-01-01 08:40:00+00:00,18.95964,72.76085,9.1,228.0,8.7,129.4,72.9339,18.82962,23247.762543917615,-1
338123456,2023-01-01 08:40:00+00:00,18.82695,72.9434,0.7,196.1,-7.6000000000000005,-86.70000000000002,72.76108,18.99811,27019.258392191383,-1
338123456,2023-01-01 08:45:00+00:00,18.97574,72.94368,0.7,328.5,-9.200000000000001,309.1,72.82157,18.84259,19601.18354870016,-1
338123456,2023-01-01 08:45:00+00:00,18.84868,72.85671,7.6,33.6,5.5,-321.7,72.86262,18.84828,623.5109535107975,-1
338123456,2023-01-01 08:50:00+00:00,18.95549,72.87004,0.2,320.8,-8.4,203.0,72.9049,18.93545,4290.34586032974,-1
338123456,2023-01-01 08:50:00+00:00,18.95018,72.84598,9.9,250.3,3.2,249.3,72.84942,18.95757,897.8414436986166,-1
338123456,2023-01-01 08:55:00+00:00,18.88787,72.8453,9.6,324.2,8.799999999999999,292.0,72.86509,18.89838,2387.561766177579,-1
338123456,2023-01-01 08:55:00+00:00,18.8229,72.91067,8.9,346.9,-0.9000000000000004,331.0,72.77201,18.98753,23406.79368270908,-1
338123456,2023-01-01 08:55:00+00:00,18.87805,72.75888,0.6,353.9,-8.700000000000001,334.9,72.77854,18.82472,6280.54604990734,-1
338123456,2023-01-01 09:00:00+00:00,18.90953,72.92535,1.5,24.6,-7.699999999999999,-312.9,72.84124,18.97711,11606.956858212343,-1
338123456,2023-01-01 09:05:00+00:00,18.97874,72.77073,0.3,216.0,-9.1,84.6,72.93014,18.83361,23273.054374230207,-1
338123456,2023-01-01 09:10:00+00:00,18.98341,72.88337,0.5,331.2,-9.4,199.5,72.77,18.82188,21560.28627909997,-1
338123456,2023-01-01 09:10:00+00:00,18.9936,72.78592,1.4,34.9,-6.699999999999999,-319.8,72.77113,18.98388,1893.7878890505951,-1
338123456,2023-01-01 09:15:00+00:00,18.86984,72.75415,9.8,297.4,8.9,213.7,72.90685,18.96615,19305.02117184162,-1
338123456,2023-01-01 09:20:00+00:00,18.94362,72.84682,9.8,343.2,5.000000000000001,187.2,72.83997,18.95122,1110.4774433599935,-1
338123456,2023-01-01 09:30:00+00:00,18.91311,72.75491,0.4,359.7,-6.6,326.5,72.75416,18.94928,4022.6940421192908,-1
338123456,2023-01-01 09:30:00+00:00,18.97474,72.79779,0.3,18.5,-8.799999999999999,-205.0,72.93619,18.86798,18784.41636527619,-1
338123456,2023-01-01 09:35:00+00:00,18.88264,72.85688,0.1,207.9,-9.3,192.20000000000002,72.83249,18.8333,6056.96984129676,-1
338123456,2023-01-01 09:40:00+00:00,18.98155,72.93738,0.2,117.9,-8.4,74.10000000000001,72.87428,18.82673,18450.62032735169,-1
